,parameter,process_name,process_time
0,0,brk,0.004319
1,3,close,0.000382
2,3,close,0.000567
3,3,close,0.000520
4,3,close,0.000453
5,0xb6f70068,set_tid_address,0.000461
6,3,close,0.000670
7,SCHED_FIFO,sched_get_priority_min,0.000575
8,0,brk,0.000631
9,0x69d000,brk,0.000334
10,SCHED_FIFO,sched_get_priority_min,0.000698
11,SCHED_FIFO,sched_get_priority_max,0.000310
12,SCHED_FIFO,sched_get_priority_min,0.000332
13,SCHED_FIFO,sched_get_priority_max,0.000266
14,SCHED_FIFO,sched_get_priority_min,0.000414
15,SCHED_FIFO,sched_get_priority_max,0.000292
16,SCHED_FIFO,sched_get_priority_min,0.000317
17,SCHED_FIFO,sched_get_priority_max,0.000266
18,SCHED_FIFO,sched_get_priority_min,0.000360
19,SCHED_FIFO,sched_get_priority_max,0.000285
20,SCHED_FIFO,sched_get_priority_min,0.000311
21,SCHED_FIFO,sched_get_priority_max,0.000263
22,3,close,0.000524
23,0,exit_group,0.001558
