,parameter,process_name,process_time
0,0,brk,0.001825
1,3,close,0.000153
2,3,close,0.000312
3,3,close,0.000207
4,3,close,0.000215
5,0xb6f0b068,set_tid_address,0.000222
6,3,close,0.000263
7,SCHED_FIFO,sched_get_priority_min,0.000289
8,0,brk,0.000412
9,0xeb9000,brk,0.000152
10,SCHED_FIFO,sched_get_priority_min,0.000182
11,SCHED_FIFO,sched_get_priority_max,0.000118
12,SCHED_FIFO,sched_get_priority_min,0.000133
13,SCHED_FIFO,sched_get_priority_max,0.000097
14,SCHED_FIFO,sched_get_priority_min,0.000177
15,SCHED_FIFO,sched_get_priority_max,0.000109
16,SCHED_FIFO,sched_get_priority_min,0.000128
17,SCHED_FIFO,sched_get_priority_max,0.000097
18,SCHED_FIFO,sched_get_priority_min,0.000138
19,SCHED_FIFO,sched_get_priority_max,0.000104
20,SCHED_FIFO,sched_get_priority_min,0.000111
21,SCHED_FIFO,sched_get_priority_max,0.000095
22,3,close,0.000130
23,0,exit_group,0.000199
