pi_stress --duration=5 
04-06-2018 22:25:22

# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | /  _----=> need-resched_lazy
#                            || / _---=> hardirq/softirq
#                            ||| / _--=> preempt-depth
#                            |||| /     delay
#           TASK-PID   CPU#  |||||    TIMESTAMP  FUNCTION
#              | |       |   |||||       |         |
       ftrace.sh-2225  [000] ....... 182373.340789: _mutex_unlock <-rb_simple_write
       ftrace.sh-2225  [000] ....... 182373.340801: __rt_mutex_unlock <-_mutex_unlock
       ftrace.sh-2225  [000] ....... 182373.340803: __fsnotify_parent <-vfs_write
       ftrace.sh-2225  [000] ....... 182373.340804: fsnotify <-vfs_write
       ftrace.sh-2225  [000] ....... 182373.340806: __sb_end_write <-vfs_write
       ftrace.sh-2225  [000] ....... 182373.340807: preempt_count_add <-__sb_end_write
       ftrace.sh-2225  [000] ....1.. 182373.340808: preempt_count_sub <-__sb_end_write
       ftrace.sh-2225  [000] ....... 182373.340815: SyS_dup2 <-ret_fast_syscall
       ftrace.sh-2225  [000] ....... 182373.340816: SyS_dup3 <-SyS_dup2
       ftrace.sh-2225  [000] ....... 182373.340818: rt_spin_lock <-SyS_dup3
       ftrace.sh-2225  [000] ....... 182373.340819: expand_files <-SyS_dup3
       ftrace.sh-2225  [000] ....... 182373.340821: do_dup2 <-SyS_dup3
       ftrace.sh-2225  [000] ....... 182373.340822: rt_spin_unlock <-do_dup2
       ftrace.sh-2225  [000] ....... 182373.340823: filp_close <-do_dup2
       ftrace.sh-2225  [000] ....... 182373.340824: dnotify_flush <-filp_close
       ftrace.sh-2225  [000] ....... 182373.340825: locks_remove_posix <-filp_close
       ftrace.sh-2225  [000] ....... 182373.340826: fput <-filp_close
       ftrace.sh-2225  [000] ....... 182373.340828: task_work_add <-fput
       ftrace.sh-2225  [000] d...... 182373.340830: do_work_pending <-slow_work_pending
       ftrace.sh-2225  [000] ....... 182373.340831: task_work_run <-do_work_pending
       ftrace.sh-2225  [000] d...... 182373.340832: preempt_count_add <-task_work_run
       ftrace.sh-2225  [000] ....1.. 182373.340834: preempt_count_sub <-task_work_run
       ftrace.sh-2225  [000] ....... 182373.340835: ____fput <-task_work_run
       ftrace.sh-2225  [000] ....... 182373.340836: __fput <-____fput
       ftrace.sh-2225  [000] ....... 182373.340838: __fsnotify_parent <-__fput
       ftrace.sh-2225  [000] ....... 182373.340839: fsnotify <-__fput
       ftrace.sh-2225  [000] ....... 182373.340840: locks_remove_file <-__fput
       ftrace.sh-2225  [000] ....... 182373.340841: ima_file_free <-__fput
       ftrace.sh-2225  [000] ....... 182373.340843: _mutex_lock <-trace_array_put
       ftrace.sh-2225  [000] ....... 182373.340844: __rt_mutex_lock_state <-_mutex_lock
       ftrace.sh-2225  [000] ....... 182373.340845: _mutex_unlock <-trace_array_put
       ftrace.sh-2225  [000] ....... 182373.340846: __rt_mutex_unlock <-_mutex_unlock
       ftrace.sh-2225  [000] ....... 182373.340847: security_file_free <-__fput
       ftrace.sh-2225  [000] ....... 182373.340849: apparmor_file_free_security <-security_file_free
       ftrace.sh-2225  [000] ....... 182373.340850: kzfree <-apparmor_file_free_security
       ftrace.sh-2225  [000] ....... 182373.340851: ksize <-kzfree
       ftrace.sh-2225  [000] ....... 182373.340853: kfree <-kzfree
       ftrace.sh-2225  [000] ....... 182373.340854: module_put <-__fput
       ftrace.sh-2225  [000] ....... 182373.340856: put_pid <-__fput
       ftrace.sh-2225  [000] ....... 182373.340857: __mnt_drop_write <-__fput
       ftrace.sh-2225  [000] ....... 182373.340858: preempt_count_add <-__mnt_drop_write
       ftrace.sh-2225  [000] ....1.. 182373.340859: preempt_count_sub <-__mnt_drop_write
       ftrace.sh-2225  [000] ....... 182373.340861: preempt_count_add <-__fput
       ftrace.sh-2225  [000] ....1.. 182373.340862: preempt_count_sub <-__fput
       ftrace.sh-2225  [000] ....... 182373.340863: call_rcu <-__fput
       ftrace.sh-2225  [000] ....... 182373.340864: __call_rcu.constprop.27 <-call_rcu
       ftrace.sh-2225  [000] d...... 182373.340866: rcu_segcblist_enqueue <-__call_rcu.constprop.27
       ftrace.sh-2225  [000] ....... 182373.340867: dput <-__fput
