pi_stress --duration=5 
04-06-2018 22:25:10

# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | /  _----=> need-resched_lazy
#                            || / _---=> hardirq/softirq
#                            ||| / _--=> preempt-depth
#                            |||| /     delay
#           TASK-PID   CPU#  |||||    TIMESTAMP  FUNCTION
#              | |       |   |||||       |         |
       ftrace.sh-2208  [000] ....... 182360.932038: _mutex_unlock <-rb_simple_write
       ftrace.sh-2208  [000] ....... 182360.932050: __rt_mutex_unlock <-_mutex_unlock
       ftrace.sh-2208  [000] ....... 182360.932052: __fsnotify_parent <-vfs_write
       ftrace.sh-2208  [000] ....... 182360.932054: fsnotify <-vfs_write
       ftrace.sh-2208  [000] ....... 182360.932055: __sb_end_write <-vfs_write
       ftrace.sh-2208  [000] ....... 182360.932057: preempt_count_add <-__sb_end_write
       ftrace.sh-2208  [000] ....1.. 182360.932058: preempt_count_sub <-__sb_end_write
       ftrace.sh-2208  [000] ....... 182360.932065: SyS_dup2 <-ret_fast_syscall
       ftrace.sh-2208  [000] ....... 182360.932066: SyS_dup3 <-SyS_dup2
       ftrace.sh-2208  [000] ....... 182360.932067: rt_spin_lock <-SyS_dup3
       ftrace.sh-2208  [000] ....... 182360.932069: expand_files <-SyS_dup3
       ftrace.sh-2208  [000] ....... 182360.932070: do_dup2 <-SyS_dup3
       ftrace.sh-2208  [000] ....... 182360.932072: rt_spin_unlock <-do_dup2
       ftrace.sh-2208  [000] ....... 182360.932073: filp_close <-do_dup2
       ftrace.sh-2208  [000] ....... 182360.932074: dnotify_flush <-filp_close
       ftrace.sh-2208  [000] ....... 182360.932075: locks_remove_posix <-filp_close
       ftrace.sh-2208  [000] ....... 182360.932077: fput <-filp_close
       ftrace.sh-2208  [000] ....... 182360.932078: task_work_add <-fput
       ftrace.sh-2208  [000] d...... 182360.932080: do_work_pending <-slow_work_pending
       ftrace.sh-2208  [000] ....... 182360.932081: task_work_run <-do_work_pending
       ftrace.sh-2208  [000] d...... 182360.932082: preempt_count_add <-task_work_run
       ftrace.sh-2208  [000] ....1.. 182360.932084: preempt_count_sub <-task_work_run
       ftrace.sh-2208  [000] ....... 182360.932085: ____fput <-task_work_run
       ftrace.sh-2208  [000] ....... 182360.932086: __fput <-____fput
       ftrace.sh-2208  [000] ....... 182360.932088: __fsnotify_parent <-__fput
       ftrace.sh-2208  [000] ....... 182360.932089: fsnotify <-__fput
       ftrace.sh-2208  [000] ....... 182360.932091: locks_remove_file <-__fput
       ftrace.sh-2208  [000] ....... 182360.932092: ima_file_free <-__fput
       ftrace.sh-2208  [000] ....... 182360.932094: _mutex_lock <-trace_array_put
       ftrace.sh-2208  [000] ....... 182360.932095: __rt_mutex_lock_state <-_mutex_lock
       ftrace.sh-2208  [000] ....... 182360.932096: _mutex_unlock <-trace_array_put
       ftrace.sh-2208  [000] ....... 182360.932097: __rt_mutex_unlock <-_mutex_unlock
       ftrace.sh-2208  [000] ....... 182360.932099: security_file_free <-__fput
       ftrace.sh-2208  [000] ....... 182360.932100: apparmor_file_free_security <-security_file_free
       ftrace.sh-2208  [000] ....... 182360.932101: kzfree <-apparmor_file_free_security
       ftrace.sh-2208  [000] ....... 182360.932103: ksize <-kzfree
       ftrace.sh-2208  [000] ....... 182360.932105: kfree <-kzfree
       ftrace.sh-2208  [000] ....... 182360.932107: module_put <-__fput
       ftrace.sh-2208  [000] ....... 182360.932109: put_pid <-__fput
       ftrace.sh-2208  [000] ....... 182360.932110: __mnt_drop_write <-__fput
       ftrace.sh-2208  [000] ....... 182360.932111: preempt_count_add <-__mnt_drop_write
       ftrace.sh-2208  [000] ....1.. 182360.932112: preempt_count_sub <-__mnt_drop_write
       ftrace.sh-2208  [000] ....... 182360.932114: preempt_count_add <-__fput
       ftrace.sh-2208  [000] ....1.. 182360.932115: preempt_count_sub <-__fput
       ftrace.sh-2208  [000] ....... 182360.932117: call_rcu <-__fput
       ftrace.sh-2208  [000] ....... 182360.932118: __call_rcu.constprop.27 <-call_rcu
       ftrace.sh-2208  [000] d...... 182360.932120: rcu_segcblist_enqueue <-__call_rcu.constprop.27
       ftrace.sh-2208  [000] ....... 182360.932122: dput <-__fput
       ftrace.sh-2208  [000] ....... 182360.932123: dput.part.7 <-dput
       ftrace.sh-2208  [000] ....... 182360.932124: __rcu_read_lock <-dput.part.7
       ftrace.sh-2208  [000] ....... 182360.932125: rt_spin_lock <-lockref_put_or_lock
       ftrace.sh-2208  [000] ....... 182360.932127: rt_spin_unlock <-lockref_put_or_lock
       ftrace.sh-2208  [000] ....... 182360.932128: __rcu_read_unlock <-dput.part.7
       ftrace.sh-2208  [000] ....... 182360.932130: mntput <-__fput
       ftrace.sh-2208  [000] ....... 182360.932131: mntput_no_expire <-mntput
       ftrace.sh-2208  [000] ....... 182360.932132: __rcu_read_lock <-mntput_no_expire
       ftrace.sh-2208  [000] ....... 182360.932134: preempt_count_add <-mntput_no_expire
       ftrace.sh-2208  [000] ....1.. 182360.932135: preempt_count_sub <-mntput_no_expire
       ftrace.sh-2208  [000] ....... 182360.932136: __rcu_read_unlock <-mntput_no_expire
       ftrace.sh-2208  [000] d...... 182360.932137: preempt_count_add <-task_work_run
       ftrace.sh-2208  [000] ....1.. 182360.932139: preempt_count_sub <-task_work_run
       ftrace.sh-2208  [000] ....... 182360.932140: mem_cgroup_handle_over_high <-do_work_pending
