pi_stress --duration=5 
04-06-2018 22:25:16

# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | /  _----=> need-resched_lazy
#                            || / _---=> hardirq/softirq
#                            ||| / _--=> preempt-depth
#                            |||| /     delay
#           TASK-PID   CPU#  |||||    TIMESTAMP  FUNCTION
#              | |       |   |||||       |         |
       ftrace.sh-2217  [000] ....... 182367.144811: _mutex_unlock <-rb_simple_write
       ftrace.sh-2217  [000] ....... 182367.144823: __rt_mutex_unlock <-_mutex_unlock
       ftrace.sh-2217  [000] ....... 182367.144825: __fsnotify_parent <-vfs_write
       ftrace.sh-2217  [000] ....... 182367.144827: fsnotify <-vfs_write
       ftrace.sh-2217  [000] ....... 182367.144828: __sb_end_write <-vfs_write
       ftrace.sh-2217  [000] ....... 182367.144830: preempt_count_add <-__sb_end_write
       ftrace.sh-2217  [000] ....1.. 182367.144831: preempt_count_sub <-__sb_end_write
       ftrace.sh-2217  [000] ....... 182367.144839: SyS_dup2 <-ret_fast_syscall
       ftrace.sh-2217  [000] ....... 182367.144841: SyS_dup3 <-SyS_dup2
       ftrace.sh-2217  [000] ....... 182367.144842: rt_spin_lock <-SyS_dup3
       ftrace.sh-2217  [000] ....... 182367.144843: expand_files <-SyS_dup3
       ftrace.sh-2217  [000] ....... 182367.144845: do_dup2 <-SyS_dup3
       ftrace.sh-2217  [000] ....... 182367.144846: rt_spin_unlock <-do_dup2
       ftrace.sh-2217  [000] ....... 182367.144847: filp_close <-do_dup2
       ftrace.sh-2217  [000] ....... 182367.144849: dnotify_flush <-filp_close
       ftrace.sh-2217  [000] ....... 182367.144850: locks_remove_posix <-filp_close
       ftrace.sh-2217  [000] ....... 182367.144851: fput <-filp_close
       ftrace.sh-2217  [000] ....... 182367.144853: task_work_add <-fput
       ftrace.sh-2217  [000] d...... 182367.144854: do_work_pending <-slow_work_pending
       ftrace.sh-2217  [000] ....... 182367.144856: task_work_run <-do_work_pending
       ftrace.sh-2217  [000] d...... 182367.144857: preempt_count_add <-task_work_run
