pi_stress --duration=5 
04-06-2018 22:25:28

# tracer: function
#
#                              _-----=> irqs-off
#                             / _----=> need-resched
#                            | /  _----=> need-resched_lazy
#                            || / _---=> hardirq/softirq
#                            ||| / _--=> preempt-depth
#                            |||| /     delay
#           TASK-PID   CPU#  |||||    TIMESTAMP  FUNCTION
#              | |       |   |||||       |         |
       ftrace.sh-2233  [000] ....... 182379.550609: _mutex_unlock <-rb_simple_write
       ftrace.sh-2233  [000] ....... 182379.550622: __rt_mutex_unlock <-_mutex_unlock
       ftrace.sh-2233  [000] ....... 182379.550624: __fsnotify_parent <-vfs_write
       ftrace.sh-2233  [000] ....... 182379.550626: fsnotify <-vfs_write
       ftrace.sh-2233  [000] ....... 182379.550628: __sb_end_write <-vfs_write
       ftrace.sh-2233  [000] ....... 182379.550629: preempt_count_add <-__sb_end_write
       ftrace.sh-2233  [000] ....1.. 182379.550631: preempt_count_sub <-__sb_end_write
       ftrace.sh-2233  [000] ....... 182379.550640: SyS_dup2 <-ret_fast_syscall
       ftrace.sh-2233  [000] ....... 182379.550642: SyS_dup3 <-SyS_dup2
       ftrace.sh-2233  [000] ....... 182379.550643: rt_spin_lock <-SyS_dup3
       ftrace.sh-2233  [000] ....... 182379.550644: expand_files <-SyS_dup3
       ftrace.sh-2233  [000] ....... 182379.550646: do_dup2 <-SyS_dup3
       ftrace.sh-2233  [000] ....... 182379.550647: rt_spin_unlock <-do_dup2
       ftrace.sh-2233  [000] ....... 182379.550649: filp_close <-do_dup2
       ftrace.sh-2233  [000] ....... 182379.550650: dnotify_flush <-filp_close
       ftrace.sh-2233  [000] ....... 182379.550651: locks_remove_posix <-filp_close
       ftrace.sh-2233  [000] ....... 182379.550652: fput <-filp_close
       ftrace.sh-2233  [000] ....... 182379.550654: task_work_add <-fput
       ftrace.sh-2233  [000] d...... 182379.550655: do_work_pending <-slow_work_pending
       ftrace.sh-2233  [000] ....... 182379.550657: task_work_run <-do_work_pending
       ftrace.sh-2233  [000] d...... 182379.550658: preempt_count_add <-task_work_run
       ftrace.sh-2233  [000] ....1.. 182379.550660: preempt_count_sub <-task_work_run
       ftrace.sh-2233  [000] ....... 182379.550661: ____fput <-task_work_run
       ftrace.sh-2233  [000] ....... 182379.550662: __fput <-____fput
       ftrace.sh-2233  [000] ....... 182379.550664: __fsnotify_parent <-__fput
       ftrace.sh-2233  [000] ....... 182379.550665: fsnotify <-__fput
       ftrace.sh-2233  [000] ....... 182379.550667: locks_remove_file <-__fput
       ftrace.sh-2233  [000] ....... 182379.550668: ima_file_free <-__fput
       ftrace.sh-2233  [000] ....... 182379.550670: _mutex_lock <-trace_array_put
       ftrace.sh-2233  [000] ....... 182379.550671: __rt_mutex_lock_state <-_mutex_lock
       ftrace.sh-2233  [000] ....... 182379.550672: _mutex_unlock <-trace_array_put
       ftrace.sh-2233  [000] ....... 182379.550673: __rt_mutex_unlock <-_mutex_unlock
       ftrace.sh-2233  [000] ....... 182379.550675: security_file_free <-__fput
       ftrace.sh-2233  [000] ....... 182379.550676: apparmor_file_free_security <-security_file_free
       ftrace.sh-2233  [000] ....... 182379.550678: kzfree <-apparmor_file_free_security
       ftrace.sh-2233  [000] ....... 182379.550679: ksize <-kzfree
       ftrace.sh-2233  [000] ....... 182379.550681: kfree <-kzfree
       ftrace.sh-2233  [000] ....... 182379.550684: module_put <-__fput
       ftrace.sh-2233  [000] ....... 182379.550685: put_pid <-__fput
       ftrace.sh-2233  [000] ....... 182379.550686: __mnt_drop_write <-__fput
       ftrace.sh-2233  [000] ....... 182379.550688: preempt_count_add <-__mnt_drop_write
       ftrace.sh-2233  [000] ....1.. 182379.550689: preempt_count_sub <-__mnt_drop_write
       ftrace.sh-2233  [000] ....... 182379.550691: preempt_count_add <-__fput
       ftrace.sh-2233  [000] ....1.. 182379.550692: preempt_count_sub <-__fput
       ftrace.sh-2233  [000] ....... 182379.550694: call_rcu <-__fput
       ftrace.sh-2233  [000] ....... 182379.550695: __call_rcu.constprop.27 <-call_rcu
       ftrace.sh-2233  [000] d...... 182379.550697: rcu_segcblist_enqueue <-__call_rcu.constprop.27
       ftrace.sh-2233  [000] ....... 182379.550699: dput <-__fput
       ftrace.sh-2233  [000] ....... 182379.550700: dput.part.7 <-dput
       ftrace.sh-2233  [000] ....... 182379.550702: __rcu_read_lock <-dput.part.7
